propval#description
Conventions::CF-1.7 CMIP-6.2#Conventions CF-1.7 CMIP-6.2
Conventions::CF-1.7 CMIP-6.2 UGRID-1.0#Conventions CF-1.7 CMIP-6.2 UGRID-1.0
activity_id::AerChemMIP#activity id AerChemMIP Aerosols and Chemistry Model Intercomparison Project
activity_id::C4MIP#activity id C4MIP Coupled Climate Carbon Cycle Model Intercomparison Project
activity_id::CDRMIP#activity id CDRMIP Carbon Dioxide Removal Model Intercomparison Project
activity_id::CFMIP#activity id CFMIP Cloud Feedback Model Intercomparison Project
activity_id::CMIP#activity id CMIP CMIP DECK: 1pctCO2, abrupt4xCO2, amip, esm-piControl, esm-historical, historical, and piControl experiments
activity_id::CORDEX#activity id CORDEX Coordinated Regional Climate Downscaling Experiment
activity_id::DAMIP#activity id DAMIP Detection and Attribution Model Intercomparison Project
activity_id::DCPP#activity id DCPP Decadal Climate Prediction Project
activity_id::DynVarMIP#activity id DynVarMIP Dynamics and Variability Model Intercomparison Project
activity_id::FAFMIP#activity id FAFMIP Flux-Anomaly-Forced Model Intercomparison Project
activity_id::GMMIP#activity id GMMIP Global Monsoons Model Intercomparison Project
activity_id::GeoMIP#activity id GeoMIP Geoengineering Model Intercomparison Project
activity_id::HighResMIP#activity id HighResMIP High-Resolution Model Intercomparison Project
activity_id::ISMIP6#activity id ISMIP6 Ice Sheet Model Intercomparison Project for CMIP6
activity_id::LS3MIP#activity id LS3MIP Land Surface, Snow and Soil Moisture
activity_id::LUMIP#activity id LUMIP Land-Use Model Intercomparison Project
activity_id::OMIP#activity id OMIP Ocean Model Intercomparison Project
activity_id::PAMIP#activity id PAMIP Polar Amplification Model Intercomparison Project
activity_id::PMIP#activity id PMIP Palaeoclimate Modelling Intercomparison Project
activity_id::RFMIP#activity id RFMIP Radiative Forcing Model Intercomparison Project
activity_id::SIMIP#activity id SIMIP Sea Ice Model Intercomparison Project
activity_id::ScenarioMIP#activity id ScenarioMIP Scenario Model Intercomparison Project
activity_id::VIACSAB#activity id VIACSAB Vulnerability, Impacts, Adaptation and Climate Services Advisory Board
activity_id::VolMIP#activity id VolMIP Volcanic Forcings Model Intercomparison Project
experiment_id::1pctCO2#experiment id 1pctCO2 1 percent per year increase in CO2
experiment_id::1pctCO2-4xext#experiment id 1pctCO2-4xext extension from year 140 of 1pctCO2 with 4xCO2
experiment_id::1pctCO2-bgc#experiment id 1pctCO2-bgc biogeochemically-coupled version of 1 percent per year increasing CO2 experiment
experiment_id::1pctCO2-cdr#experiment id 1pctCO2-cdr 1 percent per year decrease in CO2 from 4xCO2
experiment_id::1pctCO2-rad#experiment id 1pctCO2-rad radiatively-coupled version of 1 percent per year increasing CO2 experiment
experiment_id::1pctCO2Ndep#experiment id 1pctCO2Ndep 1 percent per year increasing CO2 experiment with increasing N-deposition
experiment_id::1pctCO2Ndep-bgc#experiment id 1pctCO2Ndep-bgc biogeochemically-coupled version of 1 percent per year increasing CO2 experiment with increasing N-deposition
experiment_id::1pctCO2to4x-withism#experiment id 1pctCO2to4x-withism simulation with interactive ice sheet forced by 1 percent per year increase in CO2 to 4xCO2 (subsequently held fixed)
experiment_id::G1#experiment id G1 abrupt quadrupling of CO2 plus reduction in total solar irradiance
experiment_id::G6SST1#experiment id G6SST1 SSTs, forcings, and other prescribed conditions from year 2020 of SSP5-8.5
